1 - PROTECTORA DE LAS VIRTUDES | BARCELONA, ANZOÁTEGUI
167 - DOMINGO FAUSTINO SARMIENTO | CIUDAD GUAYANA, BOLÍVAR
168 - BUENAVENTURA BRICEÑO BELISARIO | CARACAS, DISTRITO CAPITAL
172 - TEMPLO DE SALOMÓN | CARACAS, DISTRITO CAPITAL
173 - DIEGO BAUTISTA URBANEJA | CARACAS, DISTRITO CAPITAL
175 - HANS HAUSCHILDT | PUERTO ORDAZ, BOLÍVAR
176 - SOL DE YARACUY | SAN FELIPE, YARACUY
177 - JUAN MANUEL CAGIGAL | BARCELONA, ANZOÁTEGUI
179 - LIBERTAD | CARACAS, DISTRITO CAPITAL
183 - CORAZONES UNIDOS | PAMPATAR, NUEVA ESPARTA
184 - RESTAURADORES DEL HONOR | SAN CRISTÓBAL, TÁCHIRA
185 - ESTRELLA DE UNARE | CLARINES, ANZOÁTEGUI
188 - ESTRELLA DE RORAIMA | SANTA ELENA DE UAIREN, BOLÍVAR
191 - RENATO FLORES PUERTA | CUNAVICHE, APURE
193 - LUZ HERMÉTICA | SAN ANTONIO DEL TÁCHIRA, TÁCHIRA
194 - SIMÓN RODRÍGUEZ | CARACAS, DISTRITO CAPITAL
195 - SOL DE CARACAS | CARACAS, DISTRITO CAPITAL
197 - LAUTARO | CARACAS, DISTRITO CAPITAL
198 - MANUEL MANRIQUE | SAN CARLOS, COJEDES
199 - SOL DE ACHAGUAS | ACHAGUAS, APURE
200 - TRADICIÓN Y PROGRESO | VALLE DEL ESPÍRITU SANTO, NUEVA ESPARTA
201 - LUX ET ACTIO | VALENCIA, CARABOBO
202 - DR. CESAR OBDULIO IRIARTE | PUERTO ORDAZ, BOLÍVAR
204 - SOL DE MIRANDA | LOS TEQUES, MIRANDA
205 - ZAMOLXIS | CARACAS, DISTRITO CAPITAL
207 - DIEGO IBARRA | MARIARA, CARABOBO
208 - GRAL. EN JEFE SANTIAGO MARIÑO | CARACAS, DISTRITO CAPITAL
209 - SALMO 133 | PUERTO ORDAZ, BOLÍVAR
210 - OPERATIVA | SAN ANTONIO DE LOS ALTOS, MIRANDA
213 - VALLE DE LOS LIRIOS | VALLE DE LA PASCUA, GUÁRICO
214 - SOL DE LOS LLANOS | SAN JUAN DE LOS MORROS, GUÁRICO
215 - SIRIUS | CARACAS, DISTRITO CAPITAL
216 - SOL DEL GUÁRICO | ZARAZA, GUÁRICO
217 - FELIZ RAMÓN MACHADO | URACOA, MONAGAS
218 - SOL DE GUAYANA | CIUDAD BOLÍVAR, BOLÍVAR
219 - JUAN FRANCISCO GIRÓN | UPATA, BOLÍVAR
220 - JESUS VALENTINO LATAN LA ROSA | PUERTO ORDAZ, BOLÍVAR
221 - CARLOS RODRÍGUEZ JIMÉNEZ | CIUDAD BOLÍVAR, BOLÍVAR
222 - RENACIMIENTO | BARQUISIMETO, LARA
223 - LUZ Y REFLEXIÓN | PUERTO ORDAZ, BOLÍVAR
224 - CONGRESO DE ANGOSTURA | CIUDAD BOLÍVAR, BOLÍVAR
225 - UNIDAD Y ARMONÍA | MATURÍN, MONAGAS
226 - JUAN CRISÓSTOMO FALCÓN | MIRIMIRE, FALCÓN
227 - CORREO DEL ORINOCO | CIUDAD BOLÍVAR, BOLÍVAR
228 - BOLÍVAR Y SUCRE | SAN FÉLIX, BOLÍVAR
229 - LUZ DE LOS ANDES | VALERA, TRUJILLO
230 - LANCEROS DE PÁEZ | BARCELONA, ANZOÁTEGUI
231 - JUSTICIA Y LUZ | CIUDAD BOLÍVAR, BOLÍVAR
232 - ESTRELLA DEL SUPAMO | EL MANTECO, BOLÍVAR
233 - ESPERANZA 7 DEL ESTE | CARACAS, DISTRITO CAPITAL
235 - DR. EDITO ACEVEDO | MATURÍN, MONAGAS
236 - CORONEL JULIÁN MELLADO | EL SOMBRERO, GUÁRICO
237 - DEBERES HUMANOS | MÉRIDA, MÉRIDA
238 - TEMPLO PITAGÓRICO | VALLE DE LA PASCUA, GUÁRICO
239 - FRANCISCO PEREIRO LIZ | MATURÍN, MONAGAS
240 - ACACIA | VALENCIA, CARABOBO
241 - RAFAEL CALABRESE | CIUDAD BOLÍVAR, BOLÍVAR
242 - SIMÓN BOLÍVAR «LIBERTADOR» | MARACAIBO, ZULIA
243 - GUAL Y ESPAÑA | LA GUAIRA, LA GUAIRA
244 - LEONARDO DA VINCI | MARACAY, ARAGUA
245 - PEDRO ALCIRO BARBOZA DE LA TORRE | MARACAIBO, ZULIA
246 - BÓVEDAS DE HENOCH | CARACAS, DISTRITO CAPITAL
247 - MIGUEL ÁNGEL ORTEGA | VALENCIA, CARABOBO
248 - SOL DE CABRUTA | CABRUTA, GUÁRICO
249 - SERGIO GONZÁLEZ RAVEST | MATURÍN, MONAGAS
250 - RAFAEL MARÍA BARALT | CABIMAS, ZULIA
251 - HUMBERTO CAMEJO ARIAS | CIUDAD BOLÍVAR, BOLÍVAR
252 - STEFANO PICCOLO | CAGUA, ARAGUA
253 - KARIÑA | EL TIGRE, ANZOÁTEGUI
254 - FEDERICO II | MARACAY, ARAGUA
255 - LUIS RAMÓN ROMERO CARREÑO | TUCUPITA, DELTA AMACURO
256 - KRESTOS SOPHIA | SAN CRISTÓBAL, TÁCHIRA
257 - MIGUEL TEJEDA | LA ASUNCIÓN, NUEVA ESPARTA
258 - VICENTE EMILIO SOJO | GUATIRE, MIRANDA
259 - SAMUEL ROBINSON | GUANIPA, ANZOÁTEGUI
260 - CONCIENCIA UNIVERSAL | LECHERÍA, ANZOÁTEGUI
261 - RESTAURADORES DEL HONOR XXII | SAN FÉLIX, BOLÍVAR
262 - ESTUDIOS TRADICIONALES | PUERTO ORDAZ, BOLÍVAR
263 - NICOLAS CHIOTAKIS | ARAURE, PORTUGUESA
264 - JOSÉ ANTONIO HERNÁNDEZ ANTILLANO | SAN DIEGO, CARABOBO
265 - JOSÉ ANTONIO PÁEZ | SAN CRISTÓBAL, TÁCHIRA
266 - LA GRAN FAMILIA | CARACAS, DISTRITO CAPITAL
267 - PEDRO ANTONIO OLIVIERI GRILLASCA | TUMEREMO, BOLÍVAR
268 - SAN JUAN DE LAS MARGARITAS | LA ASUNCIÓN, NUEVA ESPARTA
269 - CABALLEROS DEL SOL DE CARABOBO | VALENCIA, CARABOBO
270 - CARLOS DANIEL FERNÁNDEZ | CASACOIMA, DELTA AMACURO
271 - GRAN CADENA UNIVERSAL | SAN FÉLIX, BOLÍVAR
272 - VALLE DE ARMONÍA | VALLE GUANAPE, ANZOÁTEGUI
273 - WINSTON CHURCHILL | SAN JUAN DE LOS MORROS, GUÁRICO
274 - NICOLA TESLA | CARACAS, DISTRITO CAPITAL
275 - LINO LUGO MARÍN | PEDREGALES, NUEVA ESPARTA
276 - ALQUIMISTAS DEL ESPÍRITU | CARACAS, DISTRITO CAPITAL
277 - VIRTUD Y VICTORIA | SANTA ANA DE CORO, FALCÓN
278 - CARLOS FUNG DÍAZ | VALENCIA, CARABOBO
279 - LUIS VAZ DE CAMOES | ANACO, ANZOÁTEGUI
280 - GUILLERMO ENRIQUE FREITES | BARCELONA, ANZOÁTEGUI
281 - UNIÓN FRATERNAL | GUASIPATI, BOLÍVAR
282 - LUZ DE SAN ANTONIO DE LOS ALTOS | SAN ANTONIO DE LOS ALTOS, MIRANDA
283 - SOL DE OCCIDENTE | SAN CRISTÓBAL, TÁCHIRA
284 - CIPRIANO CHANICO MARCANO | MATURÍN, MONAGAS
285 - LEGIONARIOS DEL ORDEN | BARQUISIMETO, LARA
286 - ESTRELLA DEL DELTA | TUCUPITA, DELTA AMACURO
287 - CABALLEROS HOSPITALARIOS DE SAN JUAN DE JERUSALÉM | TÁRIBA, TÁCHIRA
288 - ESTOICA | BARINAS, BARINAS
289 - EGREGOR MIRANDINO | VALENCIA, CARABOBO
291 - JOSÉ QUIJADA GAMBOA | MATURÍN, MONAGAS
292 - RENACER | SAN ANTONIO DEL TÁCHIRA, TÁCHIRA
300 - MIRANDA REGRESA | CARACAS, DISTRITO CAPITAL
